,timestamp,gyro_x,gyro_y,gyro_z
0,1663314880951,-0.5144861,0.068873025,-0.055739813
1,1663314880978,-0.5560237,0.08231167,-0.07650862
2,1663314880978,-0.6036698,0.094528615,-0.09361234
3,1663314880978,-0.6500942,0.100637086,-0.11071607
4,1663314880978,-0.69041014,0.100637086,-0.119267926
5,1663314880978,-0.7404996,0.09941539,-0.13514996
6,1663314880978,-0.77715045,0.09330692,-0.14003673
7,1663314880978,-0.81135786,0.08597675,-0.15225367
8,1663314880978,-0.83579177,0.07375981,-0.16447063
9,1663314880978,-0.8504521,0.052991,-0.17057909
10,1663314880978,-0.8528955,0.029778805,-0.17424418
11,1663314880978,-0.84678704,0.0053449133,-0.18523943
12,1663314880978,-0.8247965,-0.026419144,-0.1925696
13,1663314880983,-0.8015843,-0.04963134,-0.20234315
14,1663314880983,-0.7637118,-0.07284354,-0.2121167
15,1663314880988,-0.7197308,-0.09483404,-0.22066857
16,1663314880988,-0.670863,-0.11682454,-0.23044212
17,1663314880993,-0.62077355,-0.13148487,-0.2365506
18,1663314880993,-0.56824064,-0.14248012,-0.2365506
19,1663314880998,-0.5242597,-0.1485886,-0.23410721
20,1663314880998,-0.48027867,-0.1473669,-0.22555535
21,1663314881003,-0.44240612,-0.13148487,-0.2157818
22,1663314881003,-0.41552883,-0.10827268,-0.20356485
23,1663314881008,-0.38987327,-0.07650862,-0.18646112
24,1663314881008,-0.3654394,-0.032527618,-0.16447063
25,1663314881013,-0.35077903,0.02367033,-0.13759334
26,1663314881013,-0.3397838,0.09575031,-0.11193776
27,1663314881018,-0.34344888,0.17516045,-0.08628218
28,1663314881018,-0.3385621,0.2557923,-0.045966256
29,1663314881023,-0.34589225,0.3437543,-0.014202199
30,1663314881023,-0.3605526,0.4378248,0.016340164
31,1663314881030,-0.3800997,0.5270085,0.051769305
32,1663314881030,-0.41308546,0.608862,0.084755056
33,1663314881033,-0.45584476,0.68582875,0.11774081
34,1663314881033,-0.50593424,0.7554653,0.1446181
35,1663314881038,-0.5706841,0.8092199,0.16905198
36,1663314881039,-0.6476508,0.8593094,0.18982078
37,1663314881043,-0.7356128,0.8959602,0.2081462
38,1663314881043,-0.8272399,0.9216158,0.22402823
39,1663314881048,-0.92864054,0.9387195,0.23502348
40,1663314881049,-1.0324845,0.9399412,0.24235365
41,1663314881053,-1.138772,0.93138933,0.24724042
42,1663314881053,-1.2365075,0.9045121,0.24968381
43,1663314881057,-1.3244696,0.86663955,0.2521272
44,1663314881057,-1.4003674,0.81166327,0.2509055
45,1663314881062,-1.4626738,0.7481352,0.24601874
46,1663314881062,-1.5139849,0.6760552,0.23624517
47,1663314881067,-1.5420839,0.5905366,0.22524993
48,1663314881068,-1.549414,0.50257456,0.21547636
49,1663314881072,-1.5408622,0.4072824,0.20448112
50,1663314881073,-1.5090982,0.30588177,0.19715095
51,1663314881078,-1.4712256,0.21669807,0.1873774
52,1663314881078,-1.417471,0.11285403,0.17638214
53,1663314881083,-1.3600514,0.0151184695,0.17638214
54,1663314881083,-1.2939272,-0.06795676,0.17271706
55,1663314881088,-1.2303991,-0.15958385,0.17027368
56,1663314881088,-1.166871,-0.22677705,0.17760384
57,1663314881094,-1.1082296,-0.282975,0.18004723
58,1663314881094,-1.0459232,-0.3281777,0.19104248
59,1663314881098,-1.0031639,-0.3477248,0.19837265
60,1663314881098,-0.962848,-0.35505497,0.20570281
61,1663314881103,-0.9310839,-0.34161633,0.22036316
62,1663314881103,-0.9078717,-0.31718245,0.23502348
63,1663314881107,-0.8919897,-0.2793099,0.24601874
64,1663314881108,-0.88710296,-0.23166382,0.26067907
65,1663314881112,-0.8724426,-0.17668757,0.2777828
66,1663314881112,-0.8724426,-0.11438115,0.28877804
67,1663314881119,-0.8651124,-0.053296424,0.30588177
68,1663314881119,-0.85900396,0.0151184695,0.3193204
69,1663314881121,-0.8528955,0.072538115,0.32909396
70,1663314881122,-0.8492304,0.13117945,0.34131092
71,1663314881127,-0.83579177,0.19226417,0.34986275
72,1663314881128,-0.83090496,0.24357535,0.35597125
73,1663314881132,-0.83090496,0.2973299,0.35597125
74,1663314881132,-0.8211314,0.33886752,0.35963634
75,1663314881137,-0.8260182,0.38040513,0.35841462
76,1663314881137,-0.81502295,0.41583428,0.35841462
77,1663314881142,-0.81502295,0.44637662,0.35474956
78,1663314881142,-0.81990975,0.46836713,0.34986275
79,1663314881147,-0.8223531,0.49035764,0.34497598
80,1663314881147,-0.8223531,0.5001312,0.3425326
81,1663314881151,-0.8321267,0.51112646,0.33764583
82,1663314881153,-0.83579177,0.5172349,0.32909396
83,1663314881157,-0.83945686,0.5172349,0.3193204
84,1663314881157,-0.84312195,0.5123481,0.30954686
85,1663314881161,-0.8419002,0.50990474,0.2973299
86,1663314881162,-0.83823514,0.50257456,0.28511295
87,1663314881166,-0.8406785,0.49035764,0.26923093
88,1663314881167,-0.8321267,0.48180577,0.25945738
89,1663314881171,-0.82357484,0.46958882,0.2509055
90,1663314881172,-0.81624466,0.4537068,0.23746687
91,1663314881176,-0.802806,0.43538138,0.22647162
92,1663314881176,-0.78814566,0.4280512,0.22036316
93,1663314881181,-0.77592874,0.41339087,0.2081462
94,1663314881181,-0.7624901,0.404839,0.20448112
95,1663314881186,-0.7514948,0.39873055,0.19837265
96,1663314881186,-0.7343911,0.3877353,0.19592926
97,1663314881191,-0.7233959,0.388957,0.19348587
98,1663314881191,-0.7185091,0.39140037,0.19104248
99,1663314881197,-0.70262706,0.40117395,0.19715095
100,1663314881197,-0.6928535,0.4109475,0.20570281
101,1663314881202,-0.68674505,0.42194274,0.20570281
102,1663314881202,-0.68307996,0.44759834,0.21547636
103,1663314881206,-0.67941487,0.46470204,0.22524993
104,1663314881206,-0.67941487,0.48913595,0.23502348
105,1663314881211,-0.68307996,0.51479155,0.2545706
106,1663314881211,-0.68552333,0.5441122,0.26556584
107,1663314881216,-0.67941487,0.5661027,0.28755635
108,1663314881216,-0.6879667,0.59542334,0.300995
109,1663314881221,-0.6843016,0.6174139,0.31809872
110,1663314881221,-0.68674505,0.64429116,0.33642414
111,1663314881225,-0.70140535,0.65895146,0.33520243
112,1663314881226,-0.7038488,0.6723901,0.34986275
113,1663314881231,-0.70629215,0.6760552,0.3633014
114,1663314881231,-0.7160657,0.6797203,0.3633014
115,1663314881236,-0.7160657,0.6760552,0.38284853
116,1663314881236,-0.72217417,0.6577298,0.37918344
117,1663314881241,-0.72950435,0.6418477,0.3865136
118,1663314881241,-0.72828263,0.6137488,0.39140037
119,1663314881245,-0.7392779,0.57709795,0.3877353
120,1663314881245,-0.73316944,0.5428905,0.39262208
121,1663314881250,-0.7417213,0.50257456,0.3865136
122,1663314881250,-0.7466081,0.4524851,0.37918344
123,1663314881255,-0.75027317,0.40117395,0.37674004
124,1663314881255,-0.7612684,0.34986275,0.3657448
125,1663314881260,-0.76493347,0.2936648,0.35597125
126,1663314881261,-0.7698203,0.24357535,0.34497598
127,1663314881265,-0.7698203,0.20325942,0.33031565
128,1663314881265,-0.77348536,0.1641652,0.316877
129,1663314881270,-0.77592874,0.122627586,0.30588177
130,1663314881270,-0.7808155,0.09575031,0.28633466
131,1663314881275,-0.77348536,0.06520794,0.27289602
132,1663314881275,-0.774707,0.044439137,0.26312247
133,1663314881281,-0.77226365,0.022448637,0.24846213
134,1663314881282,-0.77226365,0.010231691,0.23624517
135,1663314881285,-0.77226365,0.006566608,0.22647162
136,1663314881292,-0.7637118,-0.003206948,0.21547636
137,1663314881292,-0.7600467,0.0077883024,0.2093679
138,1663314881292,-0.758825,0.013896775,0.19959435
139,1663314881295,-0.7600467,0.02367033,0.1885991
140,1663314881295,-0.75271654,0.040774055,0.1873774
141,1663314881300,-0.74905145,0.06520794,0.18249062
142,1663314881300,-0.74538636,0.08842014,0.17516045
143,1663314881305,-0.7514948,0.12140589,0.16905198
144,1663314881308,-0.74782974,0.15683503,0.16783029
145,1663314881311,-0.7417213,0.18982078,0.1641652
146,1663314881311,-0.7417213,0.22402823,0.16660859
147,1663314881314,-0.7368345,0.25701398,0.16294351
148,1663314881315,-0.7343911,0.28755635,0.1653869
149,1663314881319,-0.7319477,0.31565532,0.16294351
150,1663314881319,-0.72828263,0.3425326,0.15683503
151,1663314881324,-0.72095245,0.36818817,0.15805672
152,1663314881325,-0.70995724,0.39017868,0.15805672
153,1663314881330,-0.70262706,0.4097258,0.15561333
154,1663314881331,-0.6928535,0.42194274,0.15805672
155,1663314881334,-0.68185824,0.43538138,0.15439165
156,1663314881334,-0.6757498,0.44148985,0.15072656
157,1663314881339,-0.6659762,0.44148985,0.1446181
158,1663314881340,-0.66231114,0.44148985,0.13606623
159,1663314881344,-0.6574244,0.44026816,0.12873606
160,1663314881344,-0.65131587,0.4378248,0.12140589
161,1663314881349,-0.6452074,0.42560783,0.11285403
162,1663314881349,-0.63665557,0.41583428,0.106745556
163,1663314881354,-0.63543385,0.40606073,0.09208523
164,1663314881354,-0.6305471,0.39873055,0.08231167
165,1663314881358,-0.6281037,0.39628717,0.07375981
166,1663314881359,-0.6244386,0.39262208,0.062764555
167,1663314881363,-0.626882,0.39262208,0.054212693
168,1663314881364,-0.6232169,0.3877353,0.04688253
169,1663314881371,-0.6232169,0.3852919,0.040774055
170,1663314881371,-0.6244386,0.3852919,0.032222193
171,1663314881373,-0.626882,0.39017868,0.021226943
172,1663314881373,-0.6281037,0.39750886,0.010231691
173,1663314881378,-0.6281037,0.404839,0.00167983
174,1663314881379,-0.6293254,0.41827765,-0.004428643
175,1663314881387,-0.626882,0.4341597,-0.008093726
176,1663314881387,-0.6232169,0.44393325,-0.010537115
177,1663314881388,-0.61955184,0.4537068,-0.012980504
178,1663314881389,-0.61710846,0.46592376,-0.020310672
179,1663314881393,-0.6097783,0.48424917,-0.023975754
180,1663314881393,-0.598783,0.49402273,-0.03130592
181,1663314881398,-0.58778775,0.5037963,-0.034971006
182,1663314881398,-0.57679254,0.51356983,-0.041079476
183,1663314881403,-0.567019,0.5196783,-0.042301174
184,1663314881403,-0.5511369,0.52212167,-0.04352287
185,1663314881408,-0.5401417,0.5172349,-0.04963134
186,1663314881408,-0.53036815,0.50990474,-0.053296424
187,1663314881414,-0.51815116,0.4989095,-0.053296424
188,1663314881414,-0.51082104,0.48424917,-0.0581832
189,1663314881418,-0.50349087,0.47081053,-0.06062659
190,1663314881418,-0.4961607,0.45981526,-0.06429167
191,1663314881423,-0.4924956,0.4500417,-0.069178455
192,1663314881423,-0.49005222,0.44271156,-0.07162184
193,1663314881428,-0.48638713,0.4378248,-0.07040015
194,1663314881428,-0.48516545,0.4304946,-0.07162184
195,1663314881433,-0.48394373,0.4280512,-0.07040015
196,1663314881433,-0.47783527,0.4280512,-0.069178455
197,1663314881437,-0.47661358,0.42560783,-0.06795676
198,1663314881437,-0.47783527,0.4280512,-0.06673507
199,1663314881442,-0.47783527,0.4304946,-0.061848287
200,1663314881443,-0.47905695,0.43660307,-0.06062659
201,1663314881984,2.217223,-0.37582377,0.055434387
202,1663314881984,2.2257748,-0.33917293,0.043217443
203,1663314881984,2.228218,-0.28786176,0.027335415
204,1663314881984,2.2306614,-0.22922044,0.016340164
205,1663314881984,2.2221096,-0.16324893,0.004123219
206,1663314881984,2.208671,-0.103385895,-0.010537115
207,1663314881984,2.1903455,-0.050853033,-0.019088976
208,1663314881984,2.16469,-0.0056503373,-0.03130592
209,1663314881984,2.1353693,0.038330667,-0.048409645
210,1663314881984,2.1023836,0.06520794,-0.0581832
211,1663314881985,2.0706196,0.08719844,-0.07406523
212,1663314881985,2.0400772,0.09208523,-0.08628218
213,1663314881985,2.004648,0.103080474,-0.09972081
214,1663314881989,1.9728839,0.10552386,-0.11682454
215,1663314881989,1.9435632,0.110410646,-0.12904148
216,1663314881993,1.9117992,0.12507097,-0.14614521
217,1663314881994,1.8824786,0.13606623,-0.16202724
218,1663314881999,1.8592664,0.14583978,-0.17668757
219,1663314881999,1.8348324,0.14828317,-0.1913479
220,1663314882004,1.8140637,0.1421747,-0.20478654
221,1663314882004,1.7957382,0.13117945,-0.21822518
222,1663314882008,1.7786345,0.11529742,-0.23288552
223,1663314882009,1.7603091,0.094528615,-0.24388076
224,1663314882013,1.7517573,0.08108997,-0.25487602
225,1663314882013,1.7334318,0.06398625,-0.26953635
226,1663314882020,1.7224365,0.049325917,-0.282975
227,1663314882020,1.7114413,0.02611372,-0.29152685
228,1663314882023,1.7041111,0.004123219,-0.3049655
229,1663314882024,1.6894509,-0.02275406,-0.3086306
230,1663314882029,1.6808989,-0.05451812,-0.31107396
231,1663314882029,1.6601301,-0.08750387,-0.31596074
232,1663314882034,1.6442481,-0.12171131,-0.31473905
233,1663314882034,1.6295878,-0.15836215,-0.31473905
234,1663314882039,1.6124841,-0.18890451,-0.31840414
235,1663314882039,1.5880501,-0.20967332,-0.3208475
236,1663314882044,1.5648379,-0.22189027,-0.3257343
237,1663314882044,1.5428475,-0.23288552,-0.3281777
238,1663314882048,1.5110834,-0.2377723,-0.3281777
239,1663314882049,1.4768759,-0.24754585,-0.3281777
240,1663314882053,1.4451119,-0.24632415,-0.3306211
241,1663314882053,1.4084611,-0.24754585,-0.326956
242,1663314882059,1.3742536,-0.24021569,-0.32206923
243,1663314882060,1.3376027,-0.23288552,-0.31596074
244,1663314882063,1.3021736,-0.22677705,-0.31351736
245,1663314882063,1.2679662,-0.23044212,-0.31107396
246,1663314882068,1.228872,-0.23288552,-0.31351736
247,1663314882069,1.1922212,-0.24510247,-0.31473905
248,1663314882073,1.153127,-0.25487602,-0.31351736
249,1663314882073,1.1115893,-0.26098448,-0.31107396
250,1663314882079,1.0700517,-0.27686653,-0.30985227
251,1663314882079,1.0297358,-0.28908345,-0.30985227
252,1663314882083,0.9930849,-0.3037438,-0.30618718
253,1663314882083,0.9515473,-0.30985227,-0.30007872
254,1663314882088,0.9136748,-0.31840414,-0.29519194
255,1663314882088,0.87458056,-0.3232909,-0.28908345
256,1663314882094,0.8379297,-0.33672956,-0.28908345
257,1663314882094,0.80860907,-0.34894648,-0.27564484
258,1663314882098,0.76829314,-0.3440597,-0.26709297
259,1663314882099,0.7316423,-0.35138988,-0.2597628
260,1663314882103,0.69743484,-0.35627666,-0.24754585
261,1663314882103,0.6644491,-0.35872006,-0.24021569
262,1663314882108,0.6265766,-0.3660502,-0.22922044
263,1663314882108,0.5948125,-0.3721587,-0.21944688
264,1663314882113,0.56182677,-0.3733804,-0.20967332
265,1663314882113,0.5349495,-0.38559732,-0.20845163
266,1663314882118,0.52151084,-0.39414918,-0.1925696
267,1663314882118,0.48974678,-0.40880954,-0.19012621
268,1663314882123,0.47142136,-0.414918,-0.18279605
269,1663314882123,0.44820917,-0.42346987,-0.17546588
270,1663314882128,0.42866206,-0.4393519,-0.1693574
271,1663314882128,0.40300646,-0.4417953,-0.16202724
272,1663314882132,0.37857258,-0.45034716,-0.15591876
273,1663314882133,0.34925193,-0.45645562,-0.15591876
274,1663314882138,0.3284831,-0.45645562,-0.1473669
275,1663314882140,0.30038413,-0.4613424,-0.14125843
276,1663314882142,0.27472857,-0.4601207,-0.13637166
277,1663314882143,0.24907297,-0.45523393,-0.12659809
278,1663314882148,0.21608722,-0.45034716,-0.1241547
279,1663314882148,0.19409671,-0.44546035,-0.11682454
280,1663314882153,0.16844113,-0.4344651,-0.10582929
281,1663314882153,0.13545538,-0.42346987,-0.09972081
282,1663314882157,0.11346488,-0.40880954,-0.08994726
283,1663314882158,0.08414421,-0.3965926,-0.07895201
284,1663314882163,0.052380152,-0.3733804,-0.07406523
285,1663314882163,0.024281178,-0.35627666,-0.065513365
286,1663314882168,-0.009926268,-0.34039465,-0.0581832
287,1663314882168,-0.036803547,-0.3232909,-0.04963134
288,1663314882172,-0.072232686,-0.3086306,-0.039857782
289,1663314882172,-0.100331664,-0.29519194,-0.028862532
290,1663314882177,-0.13331741,-0.27564484,-0.021532366
291,1663314882177,-0.16385978,-0.2597628,-0.014202199
292,1663314882182,-0.19684553,-0.24632415,-0.003206948
293,1663314882183,-0.22860959,-0.23899399,0.006566608
294,1663314882187,-0.26037365,-0.23044212,0.020005248
295,1663314882187,-0.28602922,-0.22555535,0.031000499
296,1663314882192,-0.3165716,-0.22311196,0.044439137
297,1663314882192,-0.35200074,-0.22189027,0.054212693
298,1663314882198,-0.3849865,-0.22433366,0.06642964
299,1663314882198,-0.41552883,-0.22433366,0.0762032
300,1663314882202,-0.4485146,-0.22922044,0.08842014
301,1663314882202,-0.48272204,-0.23288552,0.09575031
